"name","pop","location"
"Chaumont-Gistoux","10943","https://www.google.com/maps/?q=50.6775,4.7212"
"Frasnes-lez-Buissenal","10936","https://www.google.com/maps/?q=50.6678,3.62047"
"Alken","10933","https://www.google.com/maps/?q=50.8755,5.30558"
"Damme","10924","https://www.google.com/maps/?q=51.2515,3.28144"
"Aiseau","10906","https://www.google.com/maps/?q=50.4116,4.58671"
"Nazareth","10890","https://www.google.com/maps/?q=50.9569,3.59425"
"Nieuwpoort","10845","https://www.google.com/maps/?q=51.1301,2.75135"
"Staden","10786","https://www.google.com/maps/?q=50.9746,3.01469"
"Kampenhout","10784","https://www.google.com/maps/?q=50.9421,4.55103"
"Spa","10756","https://www.google.com/maps/?q=50.4837,5.86674"
"Grobbendonk","10724","https://www.google.com/maps/?q=51.1904,4.73562"
"Florennes","10723","https://www.google.com/maps/?q=50.2513,4.60636"
"Moorslede","10720","https://www.google.com/maps/?q=50.8919,3.06117"
"Melle","10687","https://www.google.com/maps/?q=51.0023,3.80526"
"Aywaille","10636","https://www.google.com/maps/?q=50.4741,5.67684"
"Rijkevorsel","10606","https://www.google.com/maps/?q=51.3479,4.76053"
"Ingelmunster","10603","https://www.google.com/maps/?q=50.9208,3.25571"
"Steenokkerzeel","10566","https://www.google.com/maps/?q=50.9185,4.50989"
"Oud-Heverlee","10533","https://www.google.com/maps/?q=50.8352,4.66421"
"Waasmunster","10460","https://www.google.com/maps/?q=51.1057,4.08573"
"Berlaar","10370","https://www.google.com/maps/?q=51.1176,4.65835"
"Borsbeek","10334","https://www.google.com/maps/?q=51.1966,4.48543"
"Vosselaar","10317","https://www.google.com/maps/?q=51.3086,4.8896"
"Hoeilaart","10272","https://www.google.com/maps/?q=50.7673,4.46835"
"Durbuy","10251","https://www.google.com/maps/?q=50.3529,5.45631"
"La Calamine","10232","https://www.google.com/maps/?q=50.7181,6.01107"
"Retie","10069","https://www.google.com/maps/?q=51.2665,5.08242"
"Rebecq-Rognon","10049","https://www.google.com/maps/?q=50.6515,4.10683"
"De Pinte","10020","https://www.google.com/maps/?q=50.9934,3.64747"
