"name","pop","location"
"Luban","22245","https://www.google.com/maps/?q=51.1201,15.2877"
"Plonsk","22217","https://www.google.com/maps/?q=52.6235,20.3755"
"Hajnowka","22157","https://www.google.com/maps/?q=52.7433,23.5812"
"Laziska Gorne","21983","https://www.google.com/maps/?q=50.1495,18.8421"
"Mragowo","21965","https://www.google.com/maps/?q=53.8644,21.3051"
"Andrychow","21954","https://www.google.com/maps/?q=49.855,19.3383"
"Rembertow","21893","https://www.google.com/maps/?q=52.2606,21.1635"
"Rydultowy","21887","https://www.google.com/maps/?q=50.0586,18.417"
"Sroda Wielkopolska","21757","https://www.google.com/maps/?q=52.2284,17.2762"
"Swiebodzin","21757","https://www.google.com/maps/?q=52.2475,15.5336"
"Kamienna Gora","21743","https://www.google.com/maps/?q=50.7831,16.0304"
"Leczna","21719","https://www.google.com/maps/?q=51.3012,22.8813"
"Polkowice","21565","https://www.google.com/maps/?q=51.5039,16.0726"
"Rawicz","21380","https://www.google.com/maps/?q=51.6095,16.8585"
"Gryfino","21270","https://www.google.com/maps/?q=53.2524,14.4883"
"Dzialdowo","21127","https://www.google.com/maps/?q=53.2396,20.17"
"Gostyn","20771","https://www.google.com/maps/?q=51.8825,17.0123"
"Konskie","20756","https://www.google.com/maps/?q=51.1917,20.4061"
"Ozorkow","20608","https://www.google.com/maps/?q=51.9634,19.2914"
"Chelmno","20576","https://www.google.com/maps/?q=53.3485,18.4251"
"Aleksandrow Lodzki","20292","https://www.google.com/maps/?q=51.8196,19.3038"
"Tomaszow Lubelski","20261","https://www.google.com/maps/?q=50.4477,23.4162"
"Strzelce Opolskie","20241","https://www.google.com/maps/?q=50.5107,18.3006"
"Wesola","20000","https://www.google.com/maps/?q=52.2545,21.2241"
"Pionki","19966","https://www.google.com/maps/?q=51.476,21.4499"
"Chodziez","19776","https://www.google.com/maps/?q=52.995,16.9198"
"Bierun","19659","https://www.google.com/maps/?q=50.09,19.0929"
"Naklo nad Notecia","19565","https://www.google.com/maps/?q=53.1421,17.6018"
"Krasnystaw","19532","https://www.google.com/maps/?q=50.9846,23.1742"
"Kety","19249","https://www.google.com/maps/?q=49.8821,19.2233"
"Wadowice","19238","https://www.google.com/maps/?q=49.8834,19.4929"
"Pisz","19232","https://www.google.com/maps/?q=53.6274,21.8125"
"Sokolka","19079","https://www.google.com/maps/?q=53.4072,23.5023"
"Pultusk","19039","https://www.google.com/maps/?q=52.7025,21.0828"
"Pyskowice","19018","https://www.google.com/maps/?q=50.4,18.6333"
"Gostynin","18976","https://www.google.com/maps/?q=52.4294,19.4619"
"Sierpc","18866","https://www.google.com/maps/?q=52.8568,19.6691"
"Trzebinia","18828","https://www.google.com/maps/?q=50.1593,19.4697"
"Bogatynia","18688","https://www.google.com/maps/?q=50.9075,14.9563"
"Kozienice","18677","https://www.google.com/maps/?q=51.5829,21.5478"
"Wieliczka","18677","https://www.google.com/maps/?q=49.9874,20.0647"
"Miedzyrzecz","18669","https://www.google.com/maps/?q=52.4446,15.578"
"Hrubieszow","18605","https://www.google.com/maps/?q=50.805,23.8925"
"Szamotuly","18588","https://www.google.com/maps/?q=52.612,16.5779"
"Lask","18577","https://www.google.com/maps/?q=51.5906,19.1328"
"Orzesze","18438","https://www.google.com/maps/?q=50.1559,18.7792"
"Sulejowek","18414","https://www.google.com/maps/?q=52.2522,21.269"
"Zlotow","18395","https://www.google.com/maps/?q=53.3635,17.0408"
"Braniewo","18356","https://www.google.com/maps/?q=54.3797,19.8196"
"Krapkowice","18275","https://www.google.com/maps/?q=50.4752,17.9654"
"Lancut","18266","https://www.google.com/maps/?q=50.0687,22.2291"
"Sokolow Podlaski","18241","https://www.google.com/maps/?q=52.4068,22.2531"
"Reda","18116","https://www.google.com/maps/?q=54.6053,18.3472"
"Kostrzyn nad Odra","18099","https://www.google.com/maps/?q=52.5871,14.6495"
"Sulechow","18055","https://www.google.com/maps/?q=52.0836,15.6251"
"Oborniki","17915","https://www.google.com/maps/?q=52.6474,16.8141"
"Jozefow","17910","https://www.google.com/maps/?q=52.1371,21.2359"
"Libiaz","17834","https://www.google.com/maps/?q=50.104,19.3157"
"Deblin","17775","https://www.google.com/maps/?q=51.5591,21.8483"
"Rawa Mazowiecka","17770","https://www.google.com/maps/?q=51.7644,20.2549"
"Myslenice","17686","https://www.google.com/maps/?q=49.8338,19.9383"
"Kobylka","17659","https://www.google.com/maps/?q=52.3395,21.1959"
"Pleszew","17640","https://www.google.com/maps/?q=51.8964,17.7855"
"Slubice","17567","https://www.google.com/maps/?q=52.3509,14.5606"
"Zielonka","17518","https://www.google.com/maps/?q=52.3038,21.1602"
"Radlin","17479","https://www.google.com/maps/?q=50.0502,18.4763"
"Konstantynow Lodzki","17415","https://www.google.com/maps/?q=51.7478,19.3256"
"Radzionkow","17167","https://www.google.com/maps/?q=50.4003,18.9023"
"Miedzyrzec Podlaski","17158","https://www.google.com/maps/?q=51.9864,22.7825"
"Busko-Zdroj","17095","https://www.google.com/maps/?q=50.4708,20.7188"
"Strzegom","17004","https://www.google.com/maps/?q=50.9626,16.3501"
"Trzcianka","16914","https://www.google.com/maps/?q=53.0406,16.4563"
"Brzesko","16866","https://www.google.com/maps/?q=49.9691,20.6061"
"Jedrzejow","16792","https://www.google.com/maps/?q=50.6395,20.3045"
"Boguszow-Gorce","16726","https://www.google.com/maps/?q=50.7551,16.2049"
"Bytow","16724","https://www.google.com/maps/?q=54.1706,17.4919"
"Gryfice","16720","https://www.google.com/maps/?q=53.9165,15.2003"
"Przasnysz","16718","https://www.google.com/maps/?q=53.0191,20.8803"
"Nowogard","16703","https://www.google.com/maps/?q=53.6744,15.1163"
"Gubin","16629","https://www.google.com/maps/?q=51.9496,14.7284"
"Zlotoryja","16612","https://www.google.com/maps/?q=51.1264,15.9198"
"Rypin","16589","https://www.google.com/maps/?q=53.066,19.4094"
"Konstancin-Jeziorna","16548","https://www.google.com/maps/?q=52.0938,21.1176"
"Lidzbark Warminski","16540","https://www.google.com/maps/?q=54.1259,20.5795"
"Lapy","16434","https://www.google.com/maps/?q=52.9911,22.8842"
"Namyslow","16376","https://www.google.com/maps/?q=51.0759,17.7228"
"Zabkowice Slaskie","16321","https://www.google.com/maps/?q=50.5897,16.8124"
"Ledziny","16305","https://www.google.com/maps/?q=50.1426,19.1315"
"Ustka","16250","https://www.google.com/maps/?q=54.5805,16.8619"
"Staszow","16137","https://www.google.com/maps/?q=50.5631,21.1659"
"Swidwin","16076","https://www.google.com/maps/?q=53.7746,15.7767"
